timestamp,flowrate_LE
2012-01-01,867
2012-01-02,880
2012-01-03,853
2012-01-04,785
2012-01-05,882
2012-01-06,879
2012-01-07,893
2012-01-08,895
2012-01-09,885
2012-01-10,879
2012-01-11,886
2012-01-12,863
2012-01-13,848
2012-01-14,901
2012-01-15,651
2012-01-16,821
2012-01-17,827
2012-01-18,819
2012-01-19,807
2012-01-20,819
2012-01-21,646
2012-01-22,631
2012-01-23,798
2012-01-24,778
2012-01-25,782
2012-01-26,810
2012-01-27,878
2012-01-28,871
2012-01-29,876
2012-01-30,817
2012-01-31,784
2012-02-01,847
2012-02-02,890
2012-02-03,884
2012-02-04,878
2012-02-05,775
2012-02-06,735
2012-02-07,746
2012-02-08,777
2012-02-09,812
2012-02-10,792
2012-02-11,747
2012-02-12,759
2012-02-13,774
2012-02-14,799
2012-02-15,800
2012-02-16,786
2012-02-17,793
2012-02-18,877
2012-02-19,902
2012-02-20,891
2012-02-21,880
2012-02-22,887
2012-02-23,894
2012-02-24,820
2012-02-25,734
2012-02-26,813
2012-02-27,803
2012-02-28,807
2012-02-29,836
2012-03-01,843
2012-03-02,859
2012-03-03,773
2012-03-04,836
2012-03-05,850
2012-03-06,848
2012-03-07,846
2012-03-08,853
2012-03-09,846
2012-03-10,866
2012-03-11,738
2012-03-12,792
2012-03-13,784
2012-03-14,812
2012-03-15,796
2012-03-16,828
2012-03-17,517
2012-03-18,652
2012-03-19,748
2012-03-20,675
2012-03-21,679
2012-03-22,675
2012-03-23,622
2012-03-24,486
2012-03-25,467
2012-03-26,444
2012-03-27,599
2012-03-28,569
2012-03-29,464
2012-03-30,469
2012-03-31,333
2012-04-01,329
2012-04-02,609
2012-04-03,500
2012-04-04,508
2012-04-05,796
2012-04-06,308
2012-04-07,286
2012-04-08,590
2012-04-09,351
2012-04-10,516
2012-04-11,625
2012-04-12,671
2012-04-13,674
2012-04-14,500
2012-04-15,395
2012-04-16,706
2012-04-17,745
2012-04-18,693
2012-04-19,641
2012-04-20,717
2012-04-21,707
2012-04-22,700
2012-04-23,853
2012-04-24,640
2012-04-25,626
2012-04-26,663
2012-04-27,633
2012-04-28,320
2012-04-29,339
2012-04-30,398
2012-05-01,410
2012-05-02,395
2012-05-03,456
2012-05-04,453
2012-05-05,609
2012-05-06,536
2012-05-07,738
2012-05-08,696
2012-05-09,716
2012-05-10,707
2012-05-11,625
2012-05-12,450
2012-05-13,475
2012-05-14,601
2012-05-15,756
2012-05-16,713
2012-05-17,466
2012-05-18,634
2012-05-19,555
2012-05-20,377
2012-05-21,587
2012-05-22,605
2012-05-23,608
2012-05-24,520
2012-05-25,315
2012-05-26,262
2012-05-27,262
2012-05-28,318
2012-05-29,574
2012-05-30,679
2012-05-31,681
2012-06-01,598
2012-06-02,430
2012-06-03,414
2012-06-04,621
2012-06-05,484
2012-06-06,445
2012-06-07,499
2012-06-08,445
2012-06-09,274
2012-06-10,262
2012-06-11,433
2012-06-12,402
2012-06-13,412
2012-06-14,446
2012-06-15,421
2012-06-16,338
2012-06-17,291
2012-06-18,577
2012-06-19,758
2012-06-20,575
2012-06-21,457
2012-06-22,319
2012-06-23,301
2012-06-24,312
2012-06-25,520
2012-06-26,512
2012-06-27,409
2012-06-28,450
2012-06-29,376
2012-06-30,304
2012-07-01,316
2012-07-02,366
2012-07-03,423
2012-07-04,509
2012-07-05,512
2012-07-06,602
2012-07-07,779
2012-07-08,763
2012-07-09,710
2012-07-10,734
2012-07-11,731
2012-07-12,730
2012-07-13,745
2012-07-14,795
2012-07-15,794
2012-07-16,738
2012-07-17,731
2012-07-18,740
2012-07-19,853
2012-07-20,872
2012-07-21,871
2012-07-22,872
2012-07-23,863
2012-07-24,877
2012-07-25,742
2012-07-26,503
2012-07-27,541
2012-07-28,720
2012-07-29,725
2012-07-30,418
2012-07-31,376
2012-08-01,371
2012-08-02,381
2012-08-03,385
2012-08-04,370
2012-08-05,373
2012-08-06,379
2012-08-07,386
2012-08-08,387
2012-08-09,391
2012-08-10,402
2012-08-11,402
2012-08-12,405
2012-08-13,399
2012-08-14,403
2012-08-15,398
2012-08-16,410
2012-08-17,391
2012-08-18,406
2012-08-19,397
2012-08-20,399
2012-08-21,409
2012-08-22,409
2012-08-23,403
2012-08-24,414
2012-08-25,405
2012-08-26,405
2012-08-27,409
2012-08-28,408
2012-08-29,403
2012-08-30,404
2012-08-31,370
2012-09-01,357
2012-09-02,354
2012-09-03,353
2012-09-04,353
2012-09-05,361
2012-09-06,359
2012-09-07,368
2012-09-08,362
2012-09-09,350
2012-09-10,380
2012-09-11,397
2012-09-12,394
2012-09-13,380
2012-09-14,378
2012-09-15,388
2012-09-16,361
2012-09-17,374
2012-09-18,363
2012-09-19,348
2012-09-20,371
2012-09-21,353
2012-09-22,350
2012-09-23,364
2012-09-24,328
2012-09-25,314
2012-09-26,460
2012-09-27,477
2012-09-28,469
2012-09-29,702
2012-09-30,712
2012-10-01,708
2012-10-02,514
2012-10-03,560
2012-10-04,721
2012-10-05,816
2012-10-06,796
2012-10-07,791
2012-10-08,850
2012-10-09,886
2012-10-10,884
2012-10-11,889
2012-10-12,895
2012-10-13,891
2012-10-14,885
2012-10-15,895
2012-10-16,895
2012-10-17,898
2012-10-18,897
2012-10-19,905
2012-10-20,905
2012-10-21,890
2012-10-22,900
2012-10-23,897
2012-10-24,884
2012-10-25,886
2012-10-26,886
2012-10-27,897
2012-10-28,892
2012-10-29,893
2012-10-30,901
2012-10-31,903
2012-11-01,624
2012-11-02,899
2012-11-03,902
2012-11-04,899
2012-11-05,904
2012-11-06,896
2012-11-07,896
2012-11-08,904
2012-11-09,902
2012-11-10,894
2012-11-11,892
2012-11-12,904
2012-11-13,906
2012-11-14,905
2012-11-15,903
2012-11-16,712
2012-11-17,902
2012-11-18,949
2012-11-19,903
2012-11-20,902
2012-11-21,898
2012-11-22,900
2012-11-23,904
2012-11-24,895
2012-11-25,900
2012-11-26,907
2012-11-27,902
2012-11-28,903
2012-11-29,900
2012-11-30,894
2012-12-01,903
2012-12-02,908
2012-12-03,982
2012-12-04,980
2012-12-05,978
2012-12-06,972
2012-12-07,1000
2012-12-08,1008
2012-12-09,1004
2012-12-10,981
2012-12-11,977
2012-12-12,1000
2012-12-13,1013
2012-12-14,1046
2012-12-15,1031
2012-12-16,964
2012-12-17,896
2012-12-18,893
2012-12-19,889
2012-12-20,893
2012-12-21,906
2012-12-22,899
2012-12-23,889
2012-12-24,875
2012-12-25,887
2012-12-26,901
2012-12-27,907
2012-12-28,904
2012-12-29,907
2012-12-30,905
2012-12-31,903
2013-01-01,898
2013-01-02,904
2013-01-03,906
2013-01-04,906
2013-01-05,906
2013-01-06,898
2013-01-07,887
2013-01-08,898
2013-01-09,902
2013-01-10,972
2013-01-11,980
2013-01-12,963
2013-01-13,969
2013-01-14,969
2013-01-15,988
2013-01-16,989
2013-01-17,972
2013-01-18,976
2013-01-19,1007
2013-01-20,1015
2013-01-21,1029
2013-01-22,1021
2013-01-23,1061
2013-01-24,1104
2013-01-25,1114
2013-01-26,1096
2013-01-27,1076
2013-01-28,881
2013-01-29,872
2013-01-30,761
2013-01-31,765
2013-02-01,895
2013-02-02,908
2013-02-03,904
2013-02-04,898
2013-02-05,890
2013-02-06,904
2013-02-07,679
2013-02-08,902
2013-02-09,897
2013-02-10,889
2013-02-11,902
2013-02-12,905
2013-02-13,905
2013-02-14,896
2013-02-15,949
2013-02-16,946
2013-02-17,940
2013-02-18,903
2013-02-19,898
2013-02-20,677
2013-02-21,884
2013-02-22,898
2013-02-23,898
2013-02-24,900
2013-02-25,895
2013-02-26,888
2013-02-27,888
2013-02-28,901
2013-03-01,892
2013-03-02,903
2013-03-03,905
2013-03-04,902
2013-03-05,899
2013-03-06,901
2013-03-07,902
2013-03-08,908
2013-03-09,896
2013-03-10,897
2013-03-11,901
2013-03-12,738
2013-03-13,889
2013-03-14,887
2013-03-15,886
2013-03-16,887
2013-03-17,888
2013-03-18,886
2013-03-19,804
2013-03-20,865
2013-03-21,854
2013-03-22,856
2013-03-23,861
2013-03-24,869
2013-03-25,866
2013-03-26,850
2013-03-27,859
2013-03-28,857
2013-03-29,856
2013-03-30,856
2013-03-31,857
2013-04-01,856
2013-04-02,803
2013-04-03,803
2013-04-04,784
2013-04-05,794
2013-04-06,816
2013-04-07,821
2013-04-08,844
2013-04-09,822
2013-04-10,828
2013-04-11,831
2013-04-12,841
2013-04-13,828
2013-04-14,831
2013-04-15,825
2013-04-16,835
2013-04-17,830
2013-04-18,839
2013-04-19,807
2013-04-20,737
2013-04-21,725
2013-04-22,722
2013-04-23,722
2013-04-24,738
2013-04-25,744
2013-04-26,656
2013-04-27,649
2013-04-28,639
2013-04-29,651
2013-04-30,669
2013-05-01,660
2013-05-02,656
2013-05-03,515
2013-05-04,457
2013-05-05,545
2013-05-06,720
2013-05-07,686
2013-05-08,660
2013-05-09,614
2013-05-10,347
2013-05-11,382
2013-05-12,263
2013-05-13,328
2013-05-14,238
2013-05-15,239
2013-05-16,232
2013-05-17,315
2013-05-18,537
2013-05-19,306
2013-05-20,294
2013-05-21,411
2013-05-22,409
2013-05-23,445
2013-05-24,382
2013-05-25,248
2013-05-26,250
2013-05-27,334
2013-05-28,364
2013-05-29,379
2013-05-30,306
2013-05-31,331
2013-06-01,289
2013-06-02,291
2013-06-03,719
2013-06-04,761
2013-06-05,492
2013-06-06,524
2013-06-07,323
2013-06-08,358
2013-06-09,338
2013-06-10,548
2013-06-11,490
2013-06-12,503
2013-06-13,288
2013-06-14,425
2013-06-15,331
2013-06-16,231
2013-06-17,235
2013-06-18,243
2013-06-19,280
2013-06-20,532
2013-06-21,296
2013-06-22,257
2013-06-23,258
2013-06-24,398
2013-06-25,398
2013-06-26,348
2013-06-27,550
2013-06-28,342
2013-06-29,266
2013-06-30,265
2013-07-01,383
2013-07-02,302
2013-07-03,283
2013-07-04,286
2013-07-05,273
2013-07-06,270
2013-07-07,279
2013-07-08,326
2013-07-09,282
2013-07-10,270
2013-07-11,518
2013-07-12,359
2013-07-13,259
2013-07-14,336
2013-07-15,320
2013-07-16,453
2013-07-17,482
2013-07-18,487
2013-07-19,268
2013-07-20,288
2013-07-21,275
2013-07-22,328
2013-07-23,300
2013-07-24,270
2013-07-25,239
2013-07-26,314
2013-07-27,273
2013-07-28,281
2013-07-29,413
2013-07-30,278
2013-07-31,281
2013-08-01,407
2013-08-02,277
2013-08-03,287
2013-08-04,290
2013-08-05,436
2013-08-06,417
2013-08-07,438
2013-08-08,425
2013-08-09,476
2013-08-10,484
2013-08-11,497
2013-08-12,397
2013-08-13,321
2013-08-14,317
2013-08-15,311
2013-08-16,419
2013-08-17,419
2013-08-18,410
2013-08-19,417
2013-08-20,531
2013-08-21,529
2013-08-22,518
2013-08-23,533
2013-08-24,390
2013-08-25,255
2013-08-26,486
2013-08-27,505
2013-08-28,517
2013-08-29,429
2013-08-30,271
2013-08-31,244
2013-09-01,243
2013-09-02,231
2013-09-03,489
2013-09-04,543
2013-09-05,464
2013-09-06,378
2013-09-07,322
2013-09-08,305
2013-09-09,496
2013-09-10,506
2013-09-11,484
2013-09-12,462
2013-09-13,447
2013-09-14,289
